address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem
0x4061f7,"Add64(t40,0xfffffffffffff160)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff160>,0,False,False,0,False,False,0,False,False
0x4061fe,"Add64(t43,0xfffffffffffff160)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff160>,0,False,False,0,False,False,0,False,False
0x406205,"Add64(t46,0xfffffffffffff168)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff168>,0,False,False,0,False,False,0,False,False
0x40620c,"Add64(t49,0xfffffffffffff158)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff158>,0,False,False,0,False,False,0,False,False
0x406213,"Add64(t52,0xfffffffffffff150)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff150>,0,False,False,0,False,False,0,False,False
0x40621a,"Add64(t55,0xfffffffffffff150)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff150>,0,False,False,0,False,False,0,False,False
0x406221,"Add64(t58,0xfffffffffffff158)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff158>,0,False,False,0,False,False,0,False,False
0x406228,"Sub64(t61,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffee3c0>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x406228,"Sub64(t14,0x0000000000000080)",Iop_Sub64,64,2,<BV64 0x7fffffffffee3b8>,<BV64 0x80>,0,False,False,0,False,False,0,False,False
0x40622d,"Add64(t15,0xfffffffffffff140)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff140>,0,False,False,0,False,False,0,False,False
0x406234,"Add64(t18,0xfffffffffffff148)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff148>,0,False,False,0,False,False,0,False,False
0x40623b,"Add64(t21,0xfffffffffffff140)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff140>,0,False,False,0,False,False,0,False,False
0x406242,"Add64(t24,0xfffffffffffff148)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff148>,0,False,False,0,False,False,0,False,False
0x406249,"Add64(t27,0xfffffffffffff188)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff188>,0,False,False,0,False,False,0,False,False
0x406250,"Add64(t30,0xfffffffffffff180)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff180>,0,False,False,0,False,False,0,False,False
0x406257,"Add64(t33,0xfffffffffffff2c0)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff2c0>,0,False,False,0,False,False,0,False,False
0x40625e,"Add64(t36,0xffffffffffffe830)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffe830>,0,False,False,0,False,False,0,False,False
0x406265,"Add64(t39,0xfffffffffffff2c8)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xfffffffffffff2c8>,0,False,False,0,False,False,0,False,False
0x40626c,"Add64(t42,0xffffffffffffe828)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffe828>,0,False,False,0,False,False,0,False,False
0x406273,"Add64(t45,0xffffffffffffff68)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff68>,0,False,False,0,False,False,0,False,False
0x40627a,"Add64(t48,0xffffffffffffff60)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0xffffffffffffff60>,0,False,False,0,False,False,0,False,False
0x406281,"Sub64(t51,0x0000000000000008)",Iop_Sub64,64,2,<BV64 0x7fffffffffee3c0>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
