address,expression,operation,bitwidth,numConstantOperands,firstOperandConst,secondOperandConst,numPowerOfTwoOperands,firstOperandPowerOfTwo,secondOperandPowerOfTwo,numIdentityOperands,firstOperandIdentity,secondOperandIdentity,numZeroElementOperands,firstOperandZeroElem,secondOperandZeroElem
0x441b79,"And64(t251,t250)",Iop_And64,64,1,None,<BV64 0x7ffffffffffff>,0,False,False,1,True,False,1,True,False
0x441b7c,"Add64(t254,t253)",Iop_Add64,64,0,None,None,0,False,False,2,True,True,0,False,False
0x441b82,"Add64(t578,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefe20>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b89,"Add64(t258,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefdf8>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b8b,"And64(t261,t260)",Iop_And64,64,1,None,<BV64 0x7ffffffffffff>,0,False,False,1,True,False,1,True,False
0x441b8e,"Add64(t263,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefe00>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b90,"Add64(t265,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefe08>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b92,"Add64(t585,0x0000000000000010)",Iop_Add64,64,2,<BV64 0x7fffffffffefe20>,<BV64 0x10>,0,False,False,0,False,False,0,False,False
0x441b96,"Add64(t268,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefe10>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b98,"Add64(t269,0x0000000000000008)",Iop_Add64,64,2,<BV64 0x7fffffffffefe18>,<BV64 0x8>,0,False,False,0,False,False,0,False,False
0x441b98,"Sub64(t271,0x0000000000000080)",Iop_Sub64,64,2,<BV64 0x7fffffffffefe20>,<BV64 0x80>,0,False,False,0,False,False,0,False,False
